X,Y,landmarkid,landmarkco,landmarkna,landmarkad,address
121.610945,24.09038099,1.00E+12,301,景美火車站,1001511,花蓮縣秀林鄉
120.941766,22.4609791,1.00E+12,301,瀧溪火車站,1001409,台東縣太麻里鄉
120.989016,22.57905398,1.00E+12,301,香蘭火車站(閒),1001409,台東縣太麻里鄉
120.991657,22.58692799,1.00E+12,301,舊香蘭火車站(閒),1001409,台東縣太麻里鄉
121.004992,22.61871701,1.00E+12,301,太麻里火車站,1001409,台東縣太麻里鄉大王村276-13號
120.320931,23.24261006,6.70E+12,301,林鳳營火車站,6700009,台南市六甲區
120.323132,23.30678204,6.70E+12,301,新營火車站,6700001,台南市新營區
120.572357,22.39901,1.00E+12,301,東海火車站,1001316,屏東縣枋寮鄉
120.502905,22.65222405,1.00E+12,301,歸來火車站,1001301,屏東縣屏東市
120.464933,22.66601,1.00E+12,301,六塊厝火車站,1001301,屏東縣屏東市
121.326832,23.380531,1.00E+12,301,大禹火車站(閒),1001503,花蓮縣玉里鎮
120.643793,23.53143602,1.00E+12,301,交力坪火車站(閒),1001014,嘉義縣竹崎鄉
120.6595541,23.50439104,1.00E+12,301,水社寮火車站,1001014,嘉義縣竹崎鄉
120.553478,23.52578795,1.00E+12,301,竹崎火車站,1001014,嘉義縣竹崎鄉
120.602505,23.53292804,1.00E+12,301,樟腦寮火車站(閒),1001014,嘉義縣竹崎鄉
120.730554,23.49875303,1.00E+12,301,多林火車站,1001018,嘉義縣阿里山鄉
121.474413,23.81748399,1.00E+12,301,溪口火車站,1001506,花蓮縣壽豐鄉
121.5204469,23.88273096,1.00E+12,301,平和火車站,1001506,花蓮縣壽豐鄉
120.753935,23.49284005,1.00E+12,301,十字路火車站(閒),1001018,嘉義縣阿里山鄉
120.659651,22.26712696,1.00E+12,301,枋山火車站,1001332,屏東縣獅子鄉
120.933376,22.42876199,1.00E+12,301,富山火車站(閒),1001410,台東縣大武鄉
120.399647,23.43386094,1.00E+12,301,水上火車站,1001012,嘉義縣水上鄉
121.039425,22.67568001,1.00E+12,301,三和火車站(閒),1001409,台東縣太麻里鄉
120.647923,24.11887404,6.60E+12,301,大慶火車站,6600003,台中市南屯區建國路80號(對面)
120.4546689,23.48756792,1.00E+12,301,北門火車站,1002001,嘉義市東區
120.684977,24.13693696,6.60E+12,301,台中火車站,6600001,台中市中區建國路一段172號
120.539949,22.58645497,1.00E+12,301,竹田火車站,1001314,屏東縣竹田鄉
120.59513,22.36799094,1.00E+12,301,枋寮火車站,1001316,屏東縣枋寮鄉枋寮村儲運路18號
120.5117971,22.49205095,1.00E+12,301,南州火車站,1001320,屏東縣南州鄉仁里村仁里路86號
120.967259,22.53147806,1.00E+12,301,金崙火車站,1001409,台東縣太麻里鄉金崙村47-17號
121.421175,23.66633099,1.00E+12,301,光復火車站,1001507,花蓮縣光復鄉中正路一段2-1號
120.3242961,22.72706705,6.40E+12,301,楠梓火車站,6400004,高雄市楠梓區建楠路229號
120.6180851,23.81331708,1.00E+12,301,二水火車站,1000718,彰化縣二水鄉光文路1號
120.750089,23.83523405,1.00E+12,301,龍泉火車站,1000805,南投縣集集鎮
120.87803,22.34556806,1.00E+12,301,古莊火車站,1001410,台東縣大武鄉尚武村古莊83號
120.591376,23.85831806,1.00E+12,301,田中火車站,1000712,彰化縣田中鎮中州路一段1號
120.695652,23.50585205,1.00E+12,301,奮起湖火車站(閒),1001014,嘉義縣竹崎鄉
120.5808,23.89573902,1.00E+12,301,社頭火車站,1000717,彰化縣社頭鄉廣興村社站路10號
